record_ID;archipelago;lat;first_arrival_BP;XV_arrival;DEPTH_numeric;TIME_BP;K;Fe;Sr;N;Si;Ca;Ti;V;Mn;Fe;Cl;Sr;Zr
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;6804.6;964.108;1365;27640;15792;16682;1602;1605;86743;4951;3743;2277
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;6864.6;972.234;3897;34831;30842;35989;2231;2601;168516;4596;5402;4716
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;6923;980.14;1986;28874;20189;22235;1652;2287;148361;5861;3985;2990
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;6983;988.27;1085;27030;15023;16860;1408;2197;123721;4398;4307;3536
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;7043;996.4;2850;30657;26090;31828;2026;2558;176254;4152;6297;4767
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;7302;1077.13;3877;37102;25812;38851;2346;4030;229966;5013;5177;6101
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;7422;1123.48;5425;46454;35284;43508;2430;3887;245848;4340;7838;6244
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;7842.4;1175.776;2710;33157;23481;27411;1968;2040;145123;4110;7062;5939
caveiro;Pico;Azores;38.43;-28.18;920;1100;500;325.5;165;466;19761;3072;6157.5;1166.5;623.5;24586.5;1594;796;942
caveiro;Pico;Azores;38.43;-28.18;920;1100;500;379.75;225;0;17578.5;3041;6826;1035.5;791.5;28425;488;949.5;1372
caveiro;Pico;Azores;38.43;-28.18;920;1100;500;434;277;0;17176.5;2751;7066;1045.5;820.5;30236;558;1009.5;1589.5
caveiro;Pico;Azores;38.43;-28.18;920;1100;500;488.25;323;7.5;16941;2981;6921;954;1017;29690.5;1460;962;1504.5
caveiro;Pico;Azores;38.43;-28.18;920;1100;500;542.5;361;0;16425.5;2471;6202;1235.5;822;27739.5;1072;898.5;1502
caveiro;Pico;Azores;38.43;-28.18;920;1100;500;596.75;393;42.5;16470;2416;6416.5;1010;557;29322;692;867.5;1430
caveiro;Pico;Azores;38.43;-28.18;920;1100;500;651;419;5.5;16322;2575;6150.5;1206;740;30447;973;978;1556
caveiro;Pico;Azores;38.43;-28.18;920;1100;500;705.25;440;71.5;16601;2840.5;6078.5;1220;770.5;32133.5;861.5;868.5;1426
